initial_maturity,time_in_minute,temperature,humidity,current_maturity
85,23720,27.22341381,56.19239855,100
85,23740,27.25270697,56.55604575,100
85,23760,27.27938663,56.36617941,100
85,23780,27.28901235,56.84038473,100
85,23800,27.26221239,56.88906356,100
85,23820,27.26969419,56.89895984,100
85,23840,27.25861976,56.93460012,100
85,23860,27.23862366,56.60172638,100
85,23880,27.23664506,56.65222222,100
85,23900,27.22297619,56.96311728,100
85,23920,27.21348189,56.90545892,100
85,23940,27.21775701,56.66439512,100
85,23960,27.21635403,55.74342243,100
85,23980,27.22405907,55.12549181,100
85,24000,27.22322389,54.82674,100
85,24020,27.23929012,54.48472222,100
85,24040,27.23193139,54.58124406,100
85,24060,27.24516565,54.44099753,100
85,24080,27.22268136,54.39518773,100
85,24100,27.19906346,54.58184817,100
85,24120,27.20595535,54.45511423,100
85,24140,27.22635449,54.70081549,100
85,24160,27.25344136,53.68070988,100
85,24180,27.22100762,53.13235785,100
85,24200,27.16060185,53.38179012,100
85,24220,27.16329966,54.00122054,100
85,24240,27.23950192,54.25734887,100
85,24260,27.28548412,54.67858353,100
85,24280,27.30865877,54.45127021,100
85,24300,27.31209195,54.48233922,100
85,24320,27.28557099,54.74007396,100
85,24340,27.27482441,54.76714631,100
85,24360,27.27835627,54.53860856,100
85,24380,27.27205247,53.45123457,100
85,24400,27.20087963,52.96759259,100
85,24420,27.13999228,52.07083333,100
85,24440,27.10510802,51.60740741,100
85,24460,27.07171707,51.8510491,100
85,24480,27.05171191,51.8083505,100
85,24500,27.08033302,51.73567124,100
85,24520,27.09300759,51.48394738,100
85,24540,27.12357139,51.490782,100
85,24560,27.15811659,51.44100913,100
85,24580,27.22823744,51.86252004,100
85,24600,27.27757055,51.60969052,100
85,24620,27.40001498,51.430606,100
85,24640,27.44055449,51.67796175,100
85,24660,27.75980037,53.45247338,100
85,24680,27.83245682,53.42555924,100
85,24700,27.88315324,54.58683467,100
85,24720,27.91098157,55.29666015,100
85,24740,27.94232657,55.1312592,100
85,24760,27.93793026,55.07251104,100
85,24780,27.948529,55.15992056,100
85,24800,27.97589506,55.02604952,100
85,24820,27.97497615,54.37648709,100
85,24840,27.89447906,54.28747981,100
85,24860,27.86361468,53.8213323,100
85,24880,27.83812012,53.67949938,100
85,24900,27.79862654,53.52808642,100
85,24920,27.742199,53.56946319,100
85,24940,27.68000961,53.35798102,100
85,24960,27.61975908,53.0882791,100
85,24980,27.55515527,53.29452961,100
85,25000,27.52942593,53.4037963,100
85,25020,27.49472146,52.93319735,100
85,25040,27.45261192,52.53067242,100
85,25060,27.35331472,52.82091765,100
85,25080,27.28125422,54.05250844,100
85,25100,27.28898573,54.66536887,100
85,25120,27.27921296,54.60546146,100
85,25140,27.25645642,54.91499282,100
85,25160,27.22341381,56.19239855,100
85,25180,27.25270697,56.55604575,100
85,25200,27.27938663,56.36617941,100
85,25220,27.28901235,56.84038473,100
85,25240,27.26221239,56.88906356,100
85,25260,27.26969419,56.89895984,100
85,25280,27.25861976,56.93460012,100
85,25300,27.23862366,56.60172638,100
85,25320,27.23664506,56.65222222,100
85,25340,27.22297619,56.96311728,100
85,25360,27.21348189,56.90545892,100
85,25380,27.21775701,56.66439512,100
85,25400,27.21635403,55.74342243,100
85,25420,27.22405907,55.12549181,100
85,25440,27.22322389,54.82674,100
85,25460,27.23929012,54.48472222,100
85,25480,27.23193139,54.58124406,100
85,25500,27.24516565,54.44099753,100
85,25520,27.22268136,54.39518773,100
85,25540,27.19906346,54.58184817,100
85,25560,27.20595535,54.45511423,100
85,25580,27.22635449,54.70081549,100
85,25600,27.25344136,53.68070988,100
85,25620,27.22100762,53.13235785,100
85,25640,27.16060185,53.38179012,100
85,25660,27.16329966,54.00122054,100
85,25680,27.23950192,54.25734887,100
85,25700,27.28548412,54.67858353,100
85,25720,27.30865877,54.45127021,100
85,25740,27.31209195,54.48233922,100
85,25760,27.28557099,54.74007396,100
85,25780,27.27482441,54.76714631,100
85,25800,27.27835627,54.53860856,100
85,25820,27.27205247,53.45123457,100
85,25840,27.20087963,52.96759259,100
85,25860,27.13999228,52.07083333,100
85,25880,27.10510802,51.60740741,100
85,25900,27.07171707,51.8510491,100
85,25920,27.00982017,51.75082783,100
85,25940,27.02633297,51.56166661,100
85,25960,27.01767005,51.23429965,100
85,25980,27.02156521,51.06679149,100
85,26000,27.02828004,50.76482302,100
85,26020,27.06388511,51.10478481,100
85,26040,27.07595365,50.83303255,100
85,26060,27.18127531,50.59041735,100
85,26080,27.19863909,50.84758971,100
85,26100,27.79307873,53.02504895,100
85,26120,27.83368591,53.04467582,100
85,26140,27.85309256,54.31942311,100
85,26160,27.84310592,55.11417245,100
85,26180,27.84260651,54.91672087,100
85,26200,27.80472453,54.89900733,100
85,26220,27.77643156,54.91671131,100
85,26240,27.76477954,54.77844813,100
85,26260,27.7410117,54.04195928,100
